tier,item,size,package,pieces_per_package,merchant_sku,everyday_price,basis,note
Coated,Wood screw #10,2.5",1 lb box,90,,8.99,PLAUSIBLE,polymer/ceramic coated exterior deck screw
Coated,Wood screw #10,2.5",5 lb box,450,,34.99,PLAUSIBLE,polymer/ceramic coated exterior deck screw
Coated,Wood screw #10,3",1 lb box,75,,9.99,PLAUSIBLE,polymer/ceramic coated exterior deck screw
Coated,Wood screw #10,3",5 lb box,375,,38.99,PLAUSIBLE,polymer/ceramic coated exterior deck screw
Coated,Wood screw #10,4.5",1 lb box,50,,12.99,PLAUSIBLE,nearest long exterior coated screw
Coated,Carriage bolt 3/8 with nut+washer,5",each,1,,1.29,PLAUSIBLE,zinc-coated rated for treated wood
Coated,Carriage bolt 3/8 with nut+washer,5",25-pack,25,,28.99,PLAUSIBLE,zinc-coated rated for treated wood
Hot-dip galvanized,Wood screw #10,2.5",1 lb box,90,,12.99,PLAUSIBLE,HDG exterior wood screw
Hot-dip galvanized,Wood screw #10,2.5",5 lb box,450,,49.99,PLAUSIBLE,HDG exterior wood screw
Hot-dip galvanized,Wood screw #10,3",1 lb box,75,,14.99,PLAUSIBLE,HDG exterior wood screw
Hot-dip galvanized,Wood screw #10,3",5 lb box,375,,54.99,PLAUSIBLE,HDG exterior wood screw
Hot-dip galvanized,Wood screw #10,4.5",1 lb box,50,,18.99,PLAUSIBLE,nearest long HDG exterior screw
Hot-dip galvanized,Carriage bolt 3/8 with nut+washer,5",each,1,,1.79,PLAUSIBLE,HDG carriage bolt
Hot-dip galvanized,Carriage bolt 3/8 with nut+washer,5",25-pack,25,,39.99,PLAUSIBLE,HDG carriage bolt
Stainless,Wood screw #10,2.5",1 lb box,90,,24.99,PLAUSIBLE,305/316 stainless exterior
Stainless,Wood screw #10,2.5",5 lb box,450,,99.99,PLAUSIBLE,305/316 stainless exterior
Stainless,Wood screw #10,3",1 lb box,75,,28.99,PLAUSIBLE,305/316 stainless exterior
Stainless,Wood screw #10,3",5 lb box,375,,114.99,PLAUSIBLE,305/316 stainless exterior
Stainless,Wood screw #10,4.5",1 lb box,50,,36.99,PLAUSIBLE,nearest long stainless exterior screw
Stainless,Carriage bolt 3/8 with nut+washer,5",each,1,,3.49,PLAUSIBLE,316 stainless
Stainless,Carriage bolt 3/8 with nut+washer,5",25-pack,25,,74.99,PLAUSIBLE,316 stainless
Silicon bronze,Wood screw #10,2.5",1 lb box,90,,39.99,PLAUSIBLE,specialty silicon bronze
Silicon bronze,Wood screw #10,2.5",5 lb box,450,,159.99,PLAUSIBLE,specialty silicon bronze
Silicon bronze,Wood screw #10,3",1 lb box,75,,44.99,PLAUSIBLE,specialty silicon bronze
Silicon bronze,Wood screw #10,3",5 lb box,375,,179.99,PLAUSIBLE,specialty silicon bronze
Silicon bronze,Wood screw #10,4.5",1 lb box,50,,54.99,PLAUSIBLE,nearest long silicon bronze screw
Silicon bronze,Carriage bolt 3/8 with nut+washer,5",each,1,,5.99,PLAUSIBLE,specialty silicon bronze
Silicon bronze,Carriage bolt 3/8 with nut+washer,5",25-pack,25,,129.99,PLAUSIBLE,specialty silicon bronze
Reference,Wood screw #10,2.5",1 lb box,90,,4.99,PLAUSIBLE,plain zinc-plated interior; NOT FOR TREATED LUMBER
